geometry,density
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.576,45.0,0 7.582357999999999,45.0,0 7.582357999999999,45.004495,0 7.576,45.004495,0 7.576,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.582357999999999,45.0,0 7.588716,45.0,0 7.588716,45.004495,0 7.582357999999999,45.004495,0 7.582357999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.588716,45.0,0 7.595073999999999,45.0,0 7.595073999999999,45.004495,0 7.588716,45.004495,0 7.588716,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.595073999999999,45.0,0 7.601432,45.0,0 7.601432,45.004495,0 7.595073999999999,45.004495,0 7.595073999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.601432,45.0,0 7.60779,45.0,0 7.60779,45.004495,0 7.601432,45.004495,0 7.601432,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.60779,45.0,0 7.614147999999999,45.0,0 7.614147999999999,45.004495,0 7.60779,45.004495,0 7.60779,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.614147999999999,45.0,0 7.620506,45.0,0 7.620506,45.004495,0 7.614147999999999,45.004495,0 7.614147999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.620506,45.0,0 7.626863999999999,45.0,0 7.626863999999999,45.004495,0 7.620506,45.004495,0 7.620506,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.626863999999999,45.0,0 7.633222,45.0,0 7.633222,45.004495,0 7.626863999999999,45.004495,0 7.626863999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.633222,45.0,0 7.63958,45.0,0 7.63958,45.004495,0 7.633222,45.004495,0 7.633222,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.63958,45.0,0 7.645937999999999,45.0,0 7.645937999999999,45.004495,0 7.63958,45.004495,0 7.63958,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.645937999999999,45.0,0 7.652296,45.0,0 7.652296,45.004495,0 7.645937999999999,45.004495,0 7.645937999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.652296,45.0,0 7.658653999999999,45.0,0 7.658653999999999,45.004495,0 7.652296,45.004495,0 7.652296,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.658653999999999,45.0,0 7.665012,45.0,0 7.665012,45.004495,0 7.658653999999999,45.004495,0 7.658653999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.665012,45.0,0 7.67137,45.0,0 7.67137,45.004495,0 7.665012,45.004495,0 7.665012,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.67137,45.0,0 7.677727999999999,45.0,0 7.677727999999999,45.004495,0 7.67137,45.004495,0 7.67137,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.677727999999999,45.0,0 7.684086,45.0,0 7.684086,45.004495,0 7.677727999999999,45.004495,0 7.677727999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.684086,45.0,0 7.690443999999999,45.0,0 7.690443999999999,45.004495,0 7.684086,45.004495,0 7.684086,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.690443999999999,45.0,0 7.696802,45.0,0 7.696802,45.004495,0 7.690443999999999,45.004495,0 7.690443999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.696802,45.0,0 7.70316,45.0,0 7.70316,45.004495,0 7.696802,45.004495,0 7.696802,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.70316,45.0,0 7.709517999999999,45.0,0 7.709517999999999,45.004495,0 7.70316,45.004495,0 7.70316,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.709517999999999,45.0,0 7.715876,45.0,0 7.715876,45.004495,0 7.709517999999999,45.004495,0 7.709517999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.715876,45.0,0 7.722233999999999,45.0,0 7.722233999999999,45.004495,0 7.715876,45.004495,0 7.715876,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.722233999999999,45.0,0 7.728592,45.0,0 7.728592,45.004495,0 7.722233999999999,45.004495,0 7.722233999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.728592,45.0,0 7.7349499999999995,45.0,0 7.7349499999999995,45.004495,0 7.728592,45.004495,0 7.728592,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.7349499999999995,45.0,0 7.741308,45.0,0 7.741308,45.004495,0 7.7349499999999995,45.004495,0 7.7349499999999995,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.741308,45.0,0 7.747666,45.0,0 7.747666,45.004495,0 7.741308,45.004495,0 7.741308,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.747666,45.0,0 7.754023999999999,45.0,0 7.754023999999999,45.004495,0 7.747666,45.004495,0 7.747666,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.754023999999999,45.0,0 7.760382,45.0,0 7.760382,45.004495,0 7.754023999999999,45.004495,0 7.754023999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.760382,45.0,0 7.7667399999999995,45.0,0 7.7667399999999995,45.004495,0 7.760382,45.004495,0 7.760382,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.7667399999999995,45.0,0 7.773097999999999,45.0,0 7.773097999999999,45.004495,0 7.7667399999999995,45.004495,0 7.7667399999999995,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.773097999999999,45.0,0 7.779456,45.0,0 7.779456,45.004495,0 7.773097999999999,45.004495,0 7.773097999999999,45.0,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.576,45.004495,0 7.582357999999999,45.004495,0 7.582357999999999,45.00899,0 7.576,45.00899,0 7.576,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.582357999999999,45.004495,0 7.588716,45.004495,0 7.588716,45.00899,0 7.582357999999999,45.00899,0 7.582357999999999,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.588716,45.004495,0 7.595073999999999,45.004495,0 7.595073999999999,45.00899,0 7.588716,45.00899,0 7.588716,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.595073999999999,45.004495,0 7.601432,45.004495,0 7.601432,45.00899,0 7.595073999999999,45.00899,0 7.595073999999999,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.601432,45.004495,0 7.60779,45.004495,0 7.60779,45.00899,0 7.601432,45.00899,0 7.601432,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.60779,45.004495,0 7.614147999999999,45.004495,0 7.614147999999999,45.00899,0 7.60779,45.00899,0 7.60779,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.614147999999999,45.004495,0 7.620506,45.004495,0 7.620506,45.00899,0 7.614147999999999,45.00899,0 7.614147999999999,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.620506,45.004495,0 7.626863999999999,45.004495,0 7.626863999999999,45.00899,0 7.620506,45.00899,0 7.620506,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.626863999999999,45.004495,0 7.633222,45.004495,0 7.633222,45.00899,0 7.626863999999999,45.00899,0 7.626863999999999,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.633222,45.004495,0 7.63958,45.004495,0 7.63958,45.00899,0 7.633222,45.00899,0 7.633222,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.63958,45.004495,0 7.645937999999999,45.004495,0 7.645937999999999,45.00899,0 7.63958,45.00899,0 7.63958,45.004495,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
