,longitude,latitude,Hour
1018,7.65941,45.09177,0
1019,7.69213,45.06084,0
1020,7.66778,45.07244,0
1021,7.66773,45.07249,0
1022,7.71529,45.06674,0
1023,7.64957,45.06368,0
1024,7.64968,45.05294,0
1025,7.66441,45.0678,0
1026,7.68145,45.05255,0
1027,7.67611,45.06188,0
1028,7.62861,45.06558,0
1029,7.67802,45.06462,0
1030,7.71443,45.06488,0
1031,7.66399,45.09845,0
1032,7.66817,45.06649,0
1033,7.68352,45.07015,0
1034,7.66173,45.06057,0
1035,7.67904,45.07848,0
1036,7.65497,45.03611,0
1037,7.67872,45.05673,0
1038,7.64827,45.06531,0
1039,7.66641,45.02431,0
1040,7.68298,45.0611,0
1041,7.65666,45.05292,0
1042,7.66513,45.0171,0
1043,7.65495,45.06554,0
1044,7.65517,45.06294,0
1045,7.65235,45.04836,0
1046,7.65747,45.05689,0
1047,7.63805,45.10533,0
1048,7.68811,45.07538,0
1049,7.68254,45.09325,0
1050,7.66975,45.07267,0
1051,7.68352,45.07015,0
1052,7.66374,45.05121,0
1053,7.65619,45.02596,0
1054,7.66758,45.08194,0
1055,7.6552,45.06296,0
1056,7.67397,45.08408,0
1057,7.68108,45.08296,0
1058,7.71329,45.0643,0
1059,7.66778,45.07244,0
1060,7.6805,45.05429,0
1061,7.66778,45.06902,0
1062,7.69361,45.08702,0
1063,7.66791,45.06938,0
1064,7.67124,45.03319,0
1065,7.68719,45.06591,0
1066,7.70074,45.06297,0
1067,7.65857,45.06022,0
1068,7.64899,45.07699,0
1069,7.69588,45.06891,0
1070,7.7219,45.0688,0
1071,7.66796,45.05297,0
1072,7.67795,45.04462,0
1073,7.70681,45.07405,0
1074,7.64344,45.08114,0
1075,7.63876,45.08274,0
1076,7.66901,45.08018,0
1077,7.68075,45.05828,0
1078,7.64199,45.05929,0
1079,7.71245,45.07034,0
1080,7.6553,45.03503,0
1081,7.70139,45.07474,0
1082,7.67454,45.06221,0
1083,7.68792,45.07992,0
1084,7.66983,45.08332,0
1085,7.67144,45.09057,0
1086,7.65773,45.03757,0
1087,7.63959,45.0759,0
