,hour,count
0,418548.0,23
1,418549.0,39
2,418550.0,77
3,418551.0,86
4,418552.0,121
5,418553.0,138
6,418554.0,139
7,418555.0,144
8,418556.0,133
9,418557.0,157
10,418558.0,168
11,418559.0,178
12,418560.0,179
13,418561.0,186
14,418562.0,161
15,418563.0,131
16,418564.0,114
17,418565.0,112
18,418566.0,97
19,418567.0,51
20,418568.0,39
21,418569.0,22
22,418570.0,15
23,418571.0,9
24,418572.0,18
25,418573.0,35
26,418574.0,42
27,418575.0,84
28,418576.0,108
29,418577.0,134
30,418578.0,151
31,418579.0,168
32,418580.0,154
33,418581.0,141
34,418582.0,170
35,418583.0,166
36,418584.0,163
37,418585.0,128
38,418586.0,110
39,418587.0,103
40,418588.0,99
41,418589.0,62
42,418590.0,17
43,418598.0,15
44,418599.0,142
45,418600.0,115
46,418601.0,89
47,418602.0,100
48,418603.0,105
49,418604.0,121
50,418605.0,147
51,418606.0,168
52,418607.0,224
53,418608.0,172
54,418609.0,183
55,418610.0,153
56,418611.0,112
57,418612.0,79
58,418613.0,42
59,418614.0,36
60,418615.0,23
61,418616.0,15
62,418617.0,10
63,418618.0,10
64,418619.0,20
65,418620.0,45
66,418621.0,138
67,418622.0,169
68,418623.0,153
69,418624.0,138
70,418625.0,122
71,418626.0,126
72,418627.0,146
73,418628.0,171
74,418629.0,155
75,418630.0,185
76,418631.0,204
77,418632.0,216
78,418633.0,212
79,418634.0,130
80,418635.0,112
81,418636.0,100
82,418637.0,50
83,418638.0,34
84,418639.0,16
85,418640.0,10
86,418641.0,8
87,418642.0,14
88,418643.0,17
89,418644.0,38
90,418645.0,6
91,418647.0,38
92,418648.0,155
93,418649.0,100
94,418650.0,128
95,418651.0,149
96,418652.0,156
97,418653.0,161
98,418654.0,173
99,418655.0,221
100,418656.0,176
101,418657.0,172
102,418658.0,151
103,418659.0,120
104,418660.0,78
105,418661.0,49
106,418662.0,33
107,418663.0,30
108,418664.0,10
109,418665.0,4
110,418666.0,7
111,418667.0,16
112,418668.0,49
113,418669.0,121
114,418670.0,186
115,418671.0,182
116,418672.0,174
117,418673.0,110
118,418674.0,115
119,418675.0,141
120,418676.0,156
121,418677.0,165
