,hour,count
0,418558.0,88
1,418559.0,79
2,418560.0,60
3,418561.0,33
4,418562.0,22
5,418563.0,22
6,418564.0,27
7,418565.0,22
8,418566.0,35
9,418567.0,47
10,418568.0,78
11,418569.0,88
12,418570.0,113
13,418571.0,86
14,418572.0,91
15,418573.0,87
16,418574.0,103
17,418575.0,126
18,418576.0,109
19,418577.0,120
20,418578.0,86
21,418579.0,80
22,418580.0,65
23,418581.0,69
24,418582.0,33
25,418583.0,18
26,418584.0,6
27,418586.0,17
28,418587.0,31
29,418588.0,42
30,418589.0,106
31,418590.0,56
32,418598.0,7
33,418599.0,153
34,418600.0,175
35,418601.0,156
36,418602.0,146
37,418603.0,106
38,418604.0,87
39,418605.0,81
40,418606.0,53
41,418607.0,19
42,418608.0,7
43,418609.0,5
44,418610.0,11
45,418611.0,18
46,418612.0,56
47,418613.0,119
48,418614.0,179
49,418615.0,160
50,418616.0,125
51,418617.0,120
52,418618.0,116
53,418619.0,135
54,418620.0,145
55,418621.0,136
56,418622.0,143
57,418623.0,171
58,418624.0,166
59,418625.0,172
60,418626.0,137
61,418627.0,90
62,418628.0,90
63,418629.0,80
64,418630.0,58
65,418631.0,26
66,418632.0,13
67,418633.0,7
68,418634.0,13
69,418635.0,13
70,418636.0,31
71,418637.0,131
72,418638.0,182
73,418639.0,166
74,418640.0,96
75,418641.0,101
76,418642.0,136
77,418643.0,134
78,418644.0,131
79,418645.0,20
80,418647.0,50
81,418648.0,186
82,418649.0,169
83,418650.0,132
84,418651.0,103
85,418652.0,93
86,418653.0,81
87,418654.0,59
88,418655.0,29
89,418656.0,12
90,418657.0,11
91,418658.0,7
92,418659.0,30
93,418660.0,37
94,418661.0,106
95,418662.0,198
96,418663.0,161
97,418664.0,117
98,418665.0,115
99,418666.0,141
100,418667.0,151
101,418668.0,119
102,418669.0,135
103,418670.0,140
104,418671.0,171
105,418672.0,168
106,418673.0,165
107,418674.0,141
108,418675.0,124
109,418676.0,106
110,418677.0,97
111,418678.0,82
112,418679.0,42
113,418680.0,18
114,418681.0,18
115,418682.0,13
116,418683.0,30
117,418684.0,45
118,418685.0,119
119,418686.0,173
120,418687.0,155
121,418688.0,109
122,418689.0,129
123,418690.0,146
124,418691.0,150
125,418692.0,160
126,418693.0,161
127,418694.0,166
128,418695.0,178
129,418696.0,169
130,418697.0,180
131,418698.0,162
132,418699.0,123
133,418700.0,137
134,418701.0,115
135,418702.0,109
