,hour,count
0,418558.0,414
1,418559.0,105
2,418560.0,72
3,418561.0,50
4,418562.0,32
5,418563.0,383
6,418564.0,39
7,418565.0,32
8,418566.0,40
9,418567.0,70
10,418568.0,94
11,418569.0,103
12,418570.0,139
13,418571.0,430
14,418572.0,115
15,418573.0,111
16,418574.0,127
17,418575.0,162
18,418576.0,140
19,418577.0,146
20,418578.0,101
21,418579.0,94
22,418580.0,75
23,418581.0,89
24,418582.0,41
25,418583.0,30
26,418584.0,11
27,418585.0,1
28,418586.0,22
29,418587.0,41
30,418588.0,67
31,418589.0,137
32,418590.0,74
33,418598.0,9
34,418599.0,182
35,418600.0,227
36,418601.0,185
37,418602.0,168
38,418603.0,126
39,418604.0,104
40,418605.0,100
41,418606.0,60
42,418607.0,25
43,418608.0,377
44,418609.0,7
45,418610.0,14
46,418611.0,392
47,418612.0,67
48,418613.0,138
49,418614.0,219
50,418615.0,203
51,418616.0,149
52,418617.0,156
53,418618.0,132
54,418619.0,158
55,418620.0,184
56,418621.0,158
57,418622.0,174
58,418623.0,211
59,418624.0,212
60,418625.0,211
61,418626.0,485
62,418627.0,113
63,418628.0,114
64,418629.0,107
65,418630.0,68
66,418631.0,35
67,418632.0,16
68,418633.0,9
69,418634.0,18
70,418635.0,19
71,418636.0,36
72,418637.0,175
73,418638.0,220
74,418639.0,198
75,418640.0,119
76,418641.0,115
77,418642.0,163
78,418643.0,177
79,418644.0,161
80,418645.0,28
81,418647.0,64
82,418648.0,229
83,418649.0,218
84,418650.0,170
85,418651.0,779
86,418652.0,116
87,418653.0,99
88,418654.0,80
89,418655.0,268
90,418656.0,17
91,418657.0,13
92,418658.0,8
93,418659.0,41
94,418660.0,49
95,418661.0,146
96,418662.0,251
97,418663.0,190
98,418664.0,145
99,418665.0,150
100,418666.0,185
101,418667.0,189
102,418668.0,142
103,418669.0,156
104,418670.0,175
105,418671.0,205
106,418672.0,208
107,418673.0,190
108,418674.0,166
109,418675.0,153
110,418676.0,128
111,418677.0,117
112,418678.0,112
113,418679.0,58
114,418680.0,22
115,418681.0,25
116,418682.0,15
117,418683.0,37
118,418684.0,52
119,418685.0,177
120,418686.0,232
121,418687.0,466
122,418688.0,131
123,418689.0,160
124,418690.0,176
125,418691.0,186
126,418692.0,188
127,418693.0,184
128,418694.0,210
129,418695.0,230
130,418696.0,206
131,418697.0,219
132,418698.0,202
133,418699.0,153
134,418700.0,178
135,418701.0,131
136,418702.0,129
137,418703.0,106
138,418704.0,70
139,418705.0,47
140,418706.0,27
141,418707.0,39
142,418708.0,38
143,418709.0,59
144,418710.0,83
145,418711.0,130
146,418712.0,153
147,418713.0,155
148,418714.0,139
149,418715.0,145
150,418716.0,139
151,418717.0,137
152,418718.0,131
153,418719.0,159
154,418720.0,186
155,418721.0,162
156,418722.0,152
157,418723.0,145
