,hour,count
0,418558.0,1307
1,418559.0,141
2,418560.0,88
3,418561.0,66
4,418562.0,52
5,418563.0,65
6,418564.0,62
7,418565.0,93
8,418566.0,143
9,418567.0,197
10,418568.0,207
11,418569.0,247
12,418570.0,228
13,418571.0,955
14,418572.0,294
15,418573.0,258
16,418574.0,304
17,418575.0,307
18,418576.0,332
19,418577.0,343
20,418578.0,231
21,418579.0,217
22,418580.0,191
23,418581.0,127
24,418582.0,108
25,418583.0,59
26,418584.0,33
27,418585.0,49
28,418586.0,52
29,418587.0,90
30,418588.0,182
31,418589.0,262
32,418590.0,82
33,418598.0,36
34,418599.0,412
35,418600.0,400
36,418601.0,372
37,418602.0,287
38,418603.0,255
39,418604.0,187
40,418605.0,125
41,418606.0,86
42,418607.0,53
43,418608.0,32
44,418609.0,49
45,418610.0,63
46,418611.0,124
47,418612.0,254
48,418613.0,928
49,418614.0,388
50,418615.0,345
51,418616.0,245
52,418617.0,269
53,418618.0,282
54,418619.0,351
55,418620.0,381
56,418621.0,406
57,418622.0,383
58,418623.0,457
59,418624.0,391
60,418625.0,409
61,418626.0,315
62,418627.0,758
63,418628.0,237
64,418629.0,165
65,418630.0,110
66,418631.0,58
67,418632.0,52
68,418633.0,52
69,418634.0,65
70,418635.0,104
71,418636.0,181
72,418637.0,298
73,418638.0,312
74,418639.0,296
75,418640.0,257
76,418641.0,221
77,418642.0,262
78,418643.0,224
79,418644.0,283
80,418645.0,29
81,418647.0,121
82,418648.0,826
83,418649.0,411
84,418650.0,355
85,418651.0,791
86,418652.0,236
87,418653.0,169
88,418654.0,104
89,418655.0,66
90,418656.0,47
91,418657.0,49
92,418658.0,65
93,418659.0,98
94,418660.0,183
95,418661.0,303
96,418662.0,854
97,418663.0,249
98,418664.0,189
99,418665.0,228
100,418666.0,238
101,418667.0,245
102,418668.0,264
103,418669.0,281
104,418670.0,365
105,418671.0,408
106,418672.0,358
107,418673.0,246
108,418674.0,411
109,418675.0,343
110,418676.0,311
111,418677.0,200
112,418678.0,140
113,418679.0,75
114,418680.0,33
115,418681.0,34
116,418682.0,62
117,418683.0,90
118,418684.0,173
119,418685.0,271
120,418686.0,303
121,418687.0,265
122,418688.0,234
123,418689.0,238
124,418690.0,322
125,418691.0,322
126,418692.0,367
127,418693.0,341
128,418694.0,387
129,418695.0,399
130,418696.0,424
131,418697.0,431
132,418698.0,425
